"id","categoria","tipo","commercial_type_es","commercial_type_en","vehicle_body_type","passenger_capacity_min","passenger_capacity_max","acriss_codes","category_family","category_transmission_type","category_fuel_type","category_variant_key"
"1","A","Mini / economico manual","Mini / economico manual","Mini / economy manual","CAR","5","5","MCMR","A","MANUAL","GASOLINE","A|MANUAL|GASOLINE|5|CAR"
"2","B","Economico manual","Economico manual","Economy manual","CAR","5","5","ECMR","B","MANUAL","GASOLINE","B|MANUAL|GASOLINE|5|CAR"
"3","B1","Compacto manual","Compacto manual","Compact manual","CAR","5","5","CCMR","B","MANUAL","GASOLINE","B1|MANUAL|GASOLINE|5|CAR"
"4","C1","Compacto automatico","Compacto automatico","Compact automatic","CAR","5","5","CCAR","C","AUTOMATIC","GASOLINE","C1|AUTOMATIC|GASOLINE|5|CAR"
"6","D","Intermedio automatico","Intermedio automatico","Intermediate automatic","CAR","5","5","ICAR","D","AUTOMATIC","GASOLINE","D|AUTOMATIC|GASOLINE|5|CAR"
"7","F","Fullsize sedan automatico","Fullsize sedan automatico","Full-size sedan automatic","CAR","5","5","FCAR,SCAR","F","AUTOMATIC","GASOLINE","F|AUTOMATIC|GASOLINE|5|CAR"
"9","K","MPV compacto automatico 7 pasajeros","MPV compacto automatico 7 pasajeros","Compact MPV automatic 7 passengers","MPV","7","7","IFAR","K","AUTOMATIC","GASOLINE","K|AUTOMATIC|GASOLINE|7|MPV"
"11","L3","Minivan / van 7 pasajeros automatica","Minivan / van 7 pasajeros automatica","7-passenger minivan / van automatic","VAN_PASSENGER","7","7","IVAR,MVAR","L","AUTOMATIC","GASOLINE","L3|AUTOMATIC|GASOLINE|7|VAN"
"13","N","Van 9 a 12 pasajeros manual","Van 9 a 12 pasajeros manual","9 to 12-passenger van manual","VAN_PASSENGER","9","12","FVMR","N","MANUAL","GASOLINE","N|MANUAL|GASOLINE|9-12|VAN"
"14","O","SUV premium 7 pasajeros automatico","SUV premium 7 pasajeros automatico","7-passenger premium SUV automatic","SUV","7","7","PFAR,LFAR","O","AUTOMATIC","GASOLINE","O|AUTOMATIC|GASOLINE|7|SUV"
"15","P","Pickup manual","Pickup manual","Manual pickup","PICKUP","2","5","SPMR","P","MANUAL","GASOLINE","P|MANUAL|GASOLINE|2-5|PICKUP"
"25","P2","Pickup mediana automatica 4x4","Pickup mediana automatica 4x4","Mid-size automatic 4x4 pickup","PICKUP","5","5","KPCR","P","AUTOMATIC","GASOLINE","P|AUTOMATIC|GASOLINE|5|PICKUP_4X4"
"28","S1","Camion de carga manual","Camion de carga manual","Manual cargo truck","CARGO_TRUCK","2","2","KPBR","S","MANUAL","DIESEL_OR_UNSPECIFIED","S|MANUAL|DIESEL_OR_UNSPECIFIED|2|CARGO_TRUCK"
"29","G","Premium sedan automatico","Premium sedan automatico","Premium sedan automatic","CAR","5","5","PCAR","G","AUTOMATIC","GASOLINE","G|AUTOMATIC|GASOLINE|5|CAR"
"30","B2","Economico automatico","Economico automatico","Economy automatic","CAR","5","5","ECAR","B","AUTOMATIC","GASOLINE","B|AUTOMATIC|GASOLINE|5|CAR"
"31","H1","SUV compacto automatico","SUV compacto automatico","Compact SUV automatic","SUV","5","5","CFAR,MFAR","H1","AUTOMATIC","GASOLINE","H1|AUTOMATIC|GASOLINE|5|SUV"
"32","H2","SUV mediano automatico","SUV mediano automatico","Mid-size SUV automatic","SUV","5","7","IFAR","H2","AUTOMATIC","GASOLINE","H2|AUTOMATIC|GASOLINE|5-7|SUV"
"33","H3","SUV grande automatico","SUV grande automatico","Large SUV automatic","SUV","5","7","FFAR,SFAR","H3","AUTOMATIC","GASOLINE","H3|AUTOMATIC|GASOLINE|5-7|SUV"
"34","N2","Van 13 a 15 pasajeros manual","Van 13 a 15 pasajeros manual","13 to 15-passenger van manual","VAN_PASSENGER","13","15","OVMR","N","MANUAL","GASOLINE","N2|MANUAL|GASOLINE|13-15|VAN"
"35","D1","Intermedio manual","Intermedio manual","Intermediate manual","CAR","5","5","ICMR,SCMR","D","MANUAL","GASOLINE","D|MANUAL|GASOLINE|5|CAR"
"36","O2","SUV super lujo automatico","SUV super lujo automatico","SUV super lujo automatico","SUV","7","8","LFAR","SL","AUTOMATIC","GASOLINE",""
"75","A2","Mini / economico automatico","Mini / economico automatico","Mini / economy automatic","CAR","5","5","MCAR","A","AUTOMATIC","GASOLINE","A|AUTOMATIC|GASOLINE|5|CAR"
"77","H1M","SUV compacto manual","SUV compacto manual","Compact SUV manual","SUV","5","5","CFMR,MFMR","H1M","MANUAL","GASOLINE","H1|MANUAL|GASOLINE|5|SUV"
"78","H3H","SUV grande hibrido automatico","SUV grande hibrido automatico","Large hybrid SUV automatic","SUV","5","7","FFBH","H3H","AUTOMATIC","HYBRID","H3|AUTOMATIC|HYBRID|5-7|SUV"
"79","L3H","Minivan / van 7 pasajeros hibrida","Minivan / van 7 pasajeros hibrida","7-passenger hybrid minivan / van","VAN_PASSENGER","7","7","MVAH","L","AUTOMATIC","HYBRID","L3|AUTOMATIC|HYBRID|7|VAN"
"80","N3","Van 13 a 15 pasajeros automatica","Van 13 a 15 pasajeros automatica","13 to 15-passenger van automatic","VAN_PASSENGER","13","15","OVAR","N","AUTOMATIC","GASOLINE","N2|AUTOMATIC|GASOLINE|13-15|VAN"
"81","F1","Fullsize sedan manual","Fullsize sedan manual","Full-size sedan manual","CAR","5","5","FCMR","F","MANUAL","GASOLINE","F|MANUAL|GASOLINE|5|CAR"
"82","H3M","SUV grande manual","SUV grande manual","Large SUV manual","SUV","5","7","SFMR","H3","MANUAL","GASOLINE","H3|MANUAL|GASOLINE|5-7|SUV"
"83","N1","Van 9 a 12 pasajeros automatica","Van 9 a 12 pasajeros automatica","9 to 12-passenger van automatic","VAN_PASSENGER","9","12","FVAR,SVMD","N","AUTOMATIC","GASOLINE","N|AUTOMATIC|GASOLINE|9-12|VAN"
"85","H4","SUV standard automatico","SUV standard automatico","Standard SUV automatic","SUV","5","7","SGAR","H4","AUTOMATIC","GASOLINE","H4|AUTOMATIC|GASOLINE|5-7|SUV"
"87","P3","Pickup doble cabina automatica","Pickup doble cabina automatica","Double-cab pickup automatic","PICKUP","5","5","CPAR","P","AUTOMATIC","GASOLINE","P3|AUTOMATIC|GASOLINE|5|PICKUP"
"88","Q","SUV sport automatico","SUV sport automatico","SUV sport automatico","SUV","5","5","","Q","AUTOMATIC","GASOLINE",""
"89","R","Minivan compacta 7 pasajeros automatica","Minivan compacta 7 pasajeros automatica","Minivan compacta 7 pasajeros automatica","VAN_PASSENGER","7","7","","R","AUTOMATIC","GASOLINE",""
"91","L4","Minivan lujo electrica 7 pasajeros automatica","Minivan lujo electrica 7 pasajeros automatica","Minivan lujo electrica 7 pasajeros automatica","VAN_PASSENGER","7","7","","L","AUTOMATIC","ELECTRIC_OR_HYBRID",""
"92","O1","SUV lujo 5 pasajeros automatico","SUV lujo 5 pasajeros automatico","SUV lujo 5 pasajeros automatico","SUV","5","5","","O","AUTOMATIC","GASOLINE",""
"93","N4","Van premium 8 pasajeros manual","Van premium 8 pasajeros manual","Van premium 8 pasajeros manual","VAN_PASSENGER","8","8","","N","MANUAL","DIESEL_OR_UNSPECIFIED",""
